City,Cloudliness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Roscrea,48,IE,1554227018,83,52.95,-7.8,42.01,21.16
Pechora,88,RU,1554226639,81,65.12,57.16,30.68,9.42
Bontang,76,ID,1554226934,100,0.12,117.47,76.4,5.06
Kungalv,0,SE,1554226933,30,57.87,11.98,48.99,11.41
Dire,0,ET,1554227265,70,9.18,38.92,54.62,2.59
Ust-Kuyga,0,RU,1554226840,51,70,135.55,-4.33,3.94
Maniitsoq,92,GL,1554227041,98,65.42,-52.9,34.55,7.4
Anqing,80,CN,1554227030,90,30.51,117.04,53.27,6.17
Sam Chuk,8,TH,1554227377,93,14.75,100.09,74.51,3.71
Ribeira Grande,20,PT,1554224400,59,38.52,-28.7,60.8,13.87
Springbok,0,ZA,1554227282,34,-29.67,17.88,67.67,2.37
Samarkand,92,UZ,1554226200,82,39.65,66.98,62.6,6.51
Torbay,20,CA,1554226714,37,47.66,-52.73,39,29.97
Sarka Ghat,0,IN,1554227019,52,31.7,76.73,56.6,4.38
Brae,75,GB,1554223800,86,60.4,-1.35,41,23.04
Alta Gracia,20,AR,1554226226,43,-31.66,-64.43,91,9.17
Hami,48,CN,1554226346,48,42.84,93.51,52.19,5.95
Qaanaaq,0,GL,1554226758,74,77.48,-69.36,-0.46,8.41
Iskateley,20,RU,1554227253,76,67.68,53.15,25.37,17.02
Jamestown,0,AU,1554226604,76,-33.21,138.6,46.79,5.06
Koungheul,0,SN,1554227207,25,13.98,-14.8,97.91,12.77
San Patricio,88,PY,1554226770,82,-26.98,-56.83,76.22,5.61
Springbok,0,ZA,1554227282,34,-29.67,17.88,67.67,2.37
Pakxe,68,LA,1554227351,90,15.12,105.78,74.96,2.59
Lorengau,76,PG,1554226807,96,-2.02,147.27,83.42,11.1
Yerbogachen,36,RU,1554227321,77,61.28,108.01,24.11,5.95
Bo Phloi,24,TH,1554227097,94,14.32,99.52,73.52,2.59
Carmelo,40,UY,1554226212,55,-34,-58.28,87.8,12.75
Vila Velha,75,BR,1554226688,70,-3.71,-38.6,84.2,12.75
Kijang,0,KR,1554224400,41,35.24,129.21,42.8,6.93
Sakyla,0,FI,1554227174,38,61.03,22.33,41,10.29
Chokurdakh,64,RU,1554226773,65,70.62,147.9,3.05,2.93
Genhe,36,CN,1554226870,58,50.78,121.52,16.82,7.63
Hervey Bay,64,AU,1554226531,88,-25.3,152.85,69.01,8.05
Punta Arenas,40,CL,1554226349,50,-53.16,-70.91,55.4,29.97
Moindou,0,NC,1554226200,88,-21.69,165.68,68,2.24
Talnakh,48,RU,1554227088,72,69.49,88.39,17,3.04
Pevek,20,RU,1554226715,75,69.7,170.27,19.97,14.12
Mangan,0,IN,1554227003,61,27.5,88.54,23.84,2.59
Coihaique,40,CL,1554224400,55,-45.58,-72.07,60.8,6.93
Ballina,40,IE,1554226984,86,54.11,-9.15,42.8,13.87
Tazovskiy,56,RU,1554226912,77,67.47,78.7,17.45,12.66
Mayumba,80,GA,1554226782,90,-3.44,10.65,83.69,5.73
Ouesso,68,CG,1554227212,88,1.61,16.05,77.57,3.94
Mokrousovo,88,RU,1554226795,83,55.81,66.77,29.96,6.4
Huarmey,88,PE,1554227374,71,-10.07,-78.15,73.79,3.6
Novopskov,92,UA,1554226979,72,49.54,39.1,39.32,15.57
Kahului,75,US,1554226856,69,20.89,-156.47,75.2,12.75
Nouadhibou,20,MR,1554224400,64,20.93,-17.03,69.8,9.17
Puerto Quijarro,75,BO,1554224400,62,-19,-57.72,86,4.5
Taber,75,CA,1554227132,56,49.79,-112.14,45,3.36
Sanchazi,40,CN,1554226884,93,30.43,103.62,61,2.24
Leningradskiy,44,RU,1554226797,83,69.38,178.42,11.6,12.21
Penalva,0,BR,1554226852,78,-3.29,-45.17,88.73,4.05
Padang,24,ID,1554226902,100,-0.92,100.36,84.05,4.61
Sayansk,12,RU,1554227341,72,54.11,102.18,34.46,6.17
Coahuayana,0,MX,1554227274,22,18.62,-100.35,85.13,3.04
Vardo,1,US,1554226549,39,39.62,-77.74,48.2,10.29
Praia da Vitoria,20,PT,1554227146,59,38.73,-27.07,62.6,20.15
San Patricio,88,PY,1554226770,82,-26.98,-56.83,76.22,5.61
Muyezerskiy,8,RU,1554226819,74,63.93,31.65,35.81,8.08
Kovdor,68,RU,1554226602,74,67.56,30.47,36.17,7.74
Samarai,44,PG,1554227092,100,-10.62,150.67,80.63,5.5
Provita de Jos,8,RO,1554226562,96,45.12,25.65,43,9.42
Richards Bay,92,ZA,1554227320,100,-28.77,32.06,65.6,3.71
San Jose,20,PH,1554226814,94,15.79,120.99,68.21,2.04
Sarka Ghat,0,IN,1554227019,52,31.7,76.73,56.6,4.38
Provideniya,8,RU,1554226699,100,64.42,-173.23,21.32,11.65
Den Helder,90,NL,1554227165,87,52.96,4.76,53.01,9.17
Todos Santos,5,MX,1554226352,10,23.45,-110.23,86,5.39
Cowra,0,AU,1554226292,93,-33.84,148.69,52,3
Tuktoyaktuk,20,CA,1554224400,77,69.44,-133.03,-0.41,9.17
Vysokogornyy,76,RU,1554227338,79,50.1,139.13,15.2,2.15
Mackay,75,CA,1554224400,55,53.65,-115.58,35.6,9.17
Uribia,20,CO,1554227279,43,11.71,-72.27,90.44,16.13
